按时,16
备货,47
本人,20
不够,7
产品,8
车辆,7
诚信,27
筹备,15
创业,69
贷款,95
单位,8
第二次,11
第三次,7
店,15
店面,25
店铺,30
短期,138
儿子,7
二次,9
房,7
房屋,255
房子,84
服装店,7
副业,7
高管,11
个人,39
个人消费,63
个体,17
工程,9
工程师,11
工薪,15
工薪族,14
工作,17
公办,45
公司,112
公司法人,12
公司员工,16
公务员,107
购,7
购车,89
购房,22
购买,72
购物,7
购置,17
管理,7
管理层,7
管理人员,9
规模,12
国家,9
国企,78
国有企业,7
过年,18
还款,26
好,7
皇冠,13
婚房,12
婚礼,17
机关,8
急需,7
家电,27
家具,23
家里,20
家庭,9
兼职,23
教师,45
教育,10
结婚,48
借贷,8
借款,687
进货,41
经理,16
经营,138
开,18
开店,11
款,8
扩大,104
老家,17
良好,13
流动资金,9
旅游,21
买,28
买车,60
买房,16
卖家,10
年底,22
培训,16
朋友,11
企业,41
企业主,10
汽车,12
人员,12
日常,24
上班,17
上班族,12
上市公司,8
设备,22
申请,10
升级,10
生产,17
生意,49
实体,9
事业单位,37
收入,9
首付,8
私企,10
私营,16
私营企业,7
淘宝,36
天猫,31
添置,8
投资,61
万,9
网店,23
旺季,10
稳定,21
想,36
项目,13
消费,42
销售,17
谢谢,7
新,9
新车,10
新房,63
信用,34
信誉,7
需,13
需要,42
业务,9
业主,14
一下,7
医生,7
医院,7
员工,109
原材料,7
运营,7
正式,16
政府,10
职工,36
职员,38
中层,7
周转,284
周转资金,9
主管,15
主任,7
住房,10
装修,652
准备,12
资金,40
资金周转,208
做,14
做生意,8
